Gmt time,Open,High,Low,Close,Volume
31.12.2009 22:00:00.000,1.43216,1.43356,1.43178,1.43335,79655498657.22731
01.01.2010 22:00:00.000,1.43335,1.43335,1.43335,1.43335,0
02.01.2010 22:00:00.000,1.43335,1.43335,1.43335,1.43335,0
03.01.2010 22:00:00.000,1.43024,1.44556,1.42559,1.44120,78832800903.3207
04.01.2010 22:00:00.000,1.44112,1.44834,1.43445,1.43639,79840600097.6568
05.01.2010 22:00:00.000,1.43630,1.44342,1.42807,1.44062,80951199218.7504
06.01.2010 22:00:00.000,1.44053,1.44432,1.42976,1.43045,80960300048.82869
07.01.2010 22:00:00.000,1.43063,1.44382,1.42616,1.44083,80254899780.27371
08.01.2010 22:00:00.000,1.44083,1.44083,1.44083,1.44083,0
09.01.2010 22:00:00.000,1.44083,1.44083,1.44083,1.44083,0
10.01.2010 22:00:00.000,1.44265,1.45539,1.44049,1.45111,79856400024.41438
11.01.2010 22:00:00.000,1.45108,1.45479,1.44507,1.44816,79620499755.8597
12.01.2010 22:00:00.000,1.44832,1.45797,1.44550,1.45082,79818599731.44579
13.01.2010 22:00:00.000,1.45089,1.45546,1.44450,1.44969,80521999145.5083
14.01.2010 22:00:00.000,1.44980,1.45111,1.43347,1.43849,80340100463.86751
15.01.2010 22:00:00.000,1.43849,1.43849,1.43849,1.43849,0
16.01.2010 22:00:00.000,1.43849,1.43849,1.43849,1.43849,0
17.01.2010 22:00:00.000,1.43530,1.43999,1.43325,1.43815,81040999633.78949
18.01.2010 22:00:00.000,1.43816,1.44124,1.42498,1.42855,79048100097.6568
19.01.2010 22:00:00.000,1.42859,1.42946,1.40780,1.41051,80415399658.2032
20.01.2010 22:00:00.000,1.41043,1.41422,1.40247,1.40826,79167399658.2034
21.01.2010 22:00:00.000,1.40836,1.41805,1.40649,1.41361,79507799682.6177
22.01.2010 22:00:00.000,1.41361,1.41361,1.41361,1.41361,0
23.01.2010 22:00:00.000,1.41361,1.41361,1.41361,1.41361,0
24.01.2010 22:00:00.000,1.41557,1.41939,1.41248,1.41491,78701199462.89102
25.01.2010 22:00:00.000,1.41493,1.41780,1.40397,1.40698,79117200317.3832
26.01.2010 22:00:00.000,1.40701,1.40957,1.39944,1.40200,79560400390.6255
27.01.2010 22:00:00.000,1.40216,1.40516,1.39454,1.39692,79533499267.5786
28.01.2010 22:00:00.000,1.39686,1.39861,1.38589,1.38605,78720400146.48488
29.01.2010 22:00:00.000,1.38605,1.38605,1.38605,1.38605,0
30.01.2010 22:00:00.000,1.38605,1.38605,1.38605,1.38605,0
31.01.2010 22:00:00.000,1.38608,1.39366,1.38501,1.39289,80144300659.18001
01.02.2010 22:00:00.000,1.39292,1.39748,1.38830,1.39629,79834699829.10211
02.02.2010 22:00:00.000,1.39632,1.40247,1.38829,1.38922,80242199951.17229
03.02.2010 22:00:00.000,1.38916,1.39022,1.37184,1.37213,79709599975.5863
04.02.2010 22:00:00.000,1.37218,1.37448,1.35816,1.36763,80182300048.82849
05.02.2010 22:00:00.000,1.36763,1.36763,1.36763,1.36763,0
06.02.2010 22:00:00.000,1.36763,1.36763,1.36763,1.36763,0
07.02.2010 22:00:00.000,1.36553,1.37128,1.36195,1.36475,80947100830.0787
